Neon + Tile test f32: Loop-5, M-128, P-128, N-128
Correct
  Ti   Tj   Tk   Time
  44   80   96   0.00258689
  44   80  112   0.00273634
  44   80  128   0.00279061
  44   96    0   0.00278038
  44   96   16   0.00179429
  44   96   32   0.00175811 recorded
  44   96   48   0.00221384
  44   96   64   0.00256622
  44   96   80   0.00251383
  44   96   96   0.00258914
  44   96  112   0.00274449
  44   96  128   0.00278805
  44  112    0   0.00278463
  44  112   16   0.001801
  44  112   32   0.00175038 recorded
  44  112   48   0.00221497
  44  112   64   0.00255545
  44  112   80   0.00251643
  44  112   96   0.00258701
  44  112  112   0.00274324
  44  112  128   0.00279067
  44  128    0   0.00277422
  44  128   16   0.00173988 recorded
  44  128   32   0.00170704 recorded
  44  128   48   0.00217915
  44  128   64   0.00253333
  44  128   80   0.00247996
  44  128   96   0.00256004
  44  128  112   0.00271736
  44  128  128   0.00277026
  48   16    0   0.00280905
  48   16   16   0.00200718
  48   16   32   0.00190773
  48   16   48   0.00233136
  48   16   64   0.0026538
  48   16   80   0.00261943
  48   16   96   0.00267787
  48   16  112   0.00282882
  48   16  128   0.00284763
  48   32    0   0.00278855
  48   32   16   0.00186077
  48   32   32   0.00182185
  48   32   48   0.00226336
  48   32   64   0.00260806
  48   32   80   0.00255075
  48   32   96   0.00262489
  48   32  112   0.0027718
  48   32  128   0.00280842
  48   48    0   0.0027829
  48   48   16   0.0018285
  48   48   32   0.00178204 recorded
  48   48   48   0.00224321
  48   48   64   0.00259366
  48   48   80   0.00253579
  48   48   96   0.00260604
  48   48  112   0.00275209
  48   48  128   0.00280247
  48   64    0   0.00278182
  48   64   16   0.00180771
  48   64   32   0.00175802 recorded
  48   64   48   0.00221234
  48   64   64   0.00257008
  48   64   80   0.00250931
  48   64   96   0.00258441
  48   64  112   0.00274049
  48   64  128   0.00278436
  48   80    0   0.00277686
  48   80   16   0.00180204
  48   80   32   0.00175002 recorded
  48   80   48   0.00221459
  48   80   64   0.00255702
  48   80   80   0.002513
  48   80   96   0.00258118
  48   80  112   0.00273772
  48   80  128   0.0027889
  48   96    0   0.00277959
  48   96   16   0.00179871
  48   96   32   0.00175307 recorded
  48   96   48   0.00221805
  48   96   64   0.00256535
  48   96   80   0.00251279
  48   96   96   0.0025896
  48   96  112   0.00274188
  48   96  128   0.00278772
  48  112    0   0.00278478
  48  112   16   0.0018019
  48  112   32   0.00175371 recorded
  48  112   48   0.00221067
  48  112   64   0.00256649
  48  112   80   0.00251689
  48  112   96   0.00258593
  48  112  112   0.00274278
  48  112  128   0.00279097
